keyword,Mask,Lockdown,Vaccine,Miscellaneous,conspiracy
mask,1,0,0,0,0
masks,1,0,0,0,0
facemask,1,0,0,0,0
face mask,1,0,0,0,0
facemasks,1,0,0,0,0
face masks,1,0,0,0,0
ppe,1,0,0,0,0
n95,1,0,0,0,0
kn95,1,0,0,0,0
CoronavirusMask,1,0,0,0,0
Coronavirus mask,1,0,0,0,0
surgicalmasks,1,0,0,0,0
surgical masks,1,0,0,0,0
clothmasks,1,0,0,0,0
cloth masks,1,0,0,0,0
n95facemask,1,0,0,0,0
n95 face mask,1,0,0,0,0
kn95facemask,1,0,0,0,0
kn95 face mask,1,0,0,0,0
facecover,1,0,0,0,0
face cover,1,0,0,0,0
cloth mask,1,0,0,0,0
ffp2mask,1,0,0,0,0
ffp2 mask,1,0,0,0,0
ffp3mask,1,0,0,0,0
ffp3 mask,1,0,0,0,0
ffp3,1,0,0,0,0
ffp1,1,0,0,0,0
ffp2,1,0,0,0,0
kn95 mask,1,0,0,0,0
n95 mask,1,0,0,0,0
surgical mask,1,0,0,0,0
faceshield,1,0,0,0,0
face shield,1,0,0,0,0
personal protective equipment,1,0,0,0,0
protective equipment,1,0,0,0,0
masksSaveLives,1,0,0,0,0
masks save lives,1,0,0,0,0
wearamask,1,0,0,0,0
wear a mask,1,0,0,0,0
maskup,1,0,0,0,0
mask up,1,0,0,0,0
wearadamnmask,1,0,0,0,0
wear a damn mask,1,0,0,0,0
MaskYourKids,1,0,0,0,0
mask your kids,1,0,0,0,0
MaskMandates,1,0,0,0,0
mask mandates,1,0,0,0,0
WearMaskProtectLife,1,0,0,0,0
Wear a mask protect a life,1,0,0,0,0
WearAMaskSaveALife,1,0,0,0,0
Wear a mask save a life,1,0,0,0,0
maskon,1,0,0,0,0
mask on,1,0,0,0,0
Doublemasking,1,0,0,0,0
Double masking,1,0,0,0,0
Doublemask,1,0,0,0,0
Double mask,1,0,0,0,0
MaskOnAmerica,1,0,0,0,0
Mask On America,1,0,0,0,0
MaskSelfie,1,0,0,0,0
Mask Selfie,1,0,0,0,0
MasksWork,1,0,0,0,0
Masks work,1,0,0,0,0
MaskWorks,1,0,0,0,0
Mask works,1,0,0,0,0
mandatorymask,1,0,0,0,0
mandatory mask,1,0,0,0,0
GetMePPE,1,0,0,0,0
Get Me PPE,1,0,0,0,0
masks4all,1,0,0,0,0
wear face mask,1,0,0,0,0
maskdontWork,1,0,0,0,0
mask dont work,1,0,0,0,0
mask don't work,1,0,0,0,0
Nomasks,1,0,0,0,0
No masks,1,0,0,0,0
Nomask,1,0,0,0,0
No mask,1,0,0,0,0
MasksOff,1,0,0,0,0
Masks Off,1,0,0,0,0
MaskOff,1,0,0,0,0
Mask Off,1,0,0,0,0
antimasker,1,0,0,0,0
anti masker,1,0,0,0,0
antimaskers,1,0,0,0,0
anti maskers,1,0,0,0,0
NoMaskMandate,1,0,0,0,0
No mask mandate,1,0,0,0,0
Nomoremasks,1,0,0,0,0
No more masks,1,0,0,0,0
UnMaskAmerica,1,0,0,0,0
Unmask America,1,0,0,0,0
Maskless,1,0,0,0,0
IWillNotWearAMask,1,0,0,0,0
I will not wear a mask,1,0,0,0,0
SheepNoMore,1,0,0,0,1
sheep no more,1,0,0,0,1
unmask,1,0,0,0,0
MaskOffAmerica,1,0,0,0,0
Mask off America,1,0,0,0,0
Talesoftheunmaskedpatriot,1,0,0,0,1
takeoffthemask,1,0,0,0,0
take off the mask,1,0,0,0,0
maskburning,1,0,0,0,0
mask burning,1,0,0,0,0
Burnyourmask,1,0,0,0,0
burn you mask,1,0,0,0,0
Burnyourmaskchallenge,1,0,0,0,0
burn your mask challenge,1,0,0,0,0
nomaskonme,1,0,0,0,0
no mask on me,1,0,0,0,0
nomaskselfie,1,0,0,0,0
no mask selfie,1,0,0,0,0
maskhoax,1,0,0,0,1
mask hoax,1,0,0,0,1
nomaskEVER,1,0,0,0,0
no mask ever,1,0,0,0,0
facefreedom,1,0,0,0,1
face freedom,1,0,0,0,1
masksmakemesweaty,1,0,0,0,0
masks make me sweaty,1,0,0,0,0
MasksAreDangerous,1,0,0,0,0
Masks are dangerous,1,0,0,0,0
TakeMaskOff,1,0,0,0,0
Take mask off,1,0,0,0,0
Stopforcingmaskonme,1,0,0,0,0
Stop forcing mask on me,1,0,0,0,0
takeoffyourmask,1,0,0,0,0
take off your mask,1,0,0,0,0
refusemask,1,0,0,0,0
refuse mask,1,0,0,0,0
NeverMasker,1,0,0,0,0
Never masker,1,0,0,0,0
StopWearingMask,1,0,0,0,0
Stop wearing mask,1,0,0,0,0
StopWearingtheDamnMasks,1,0,0,0,0
Stop wearing the damn masks,1,0,0,0,0
MasksdontMatter,1,0,0,0,0
Masks dont matter,1,0,0,0,0
Masks don't matter,1,0,0,0,0
stopmasking,1,0,0,0,0
stop masking,1,0,0,0,0
stopthestupidmask,1,0,0,0,0
stop stupid mask,1,0,0,0,0
maskingchildrenischildabuse,1,0,0,0,0
masking children is child abuse,1,0,0,0,0
MomsAgainstMasks,1,0,0,0,0
Moms against masks,1,0,0,0,0
MasksRUnhealthy,1,0,0,0,0
Masks are unhealthy,1,0,0,0,0
SheepWearMasks,1,0,0,0,1
Sheep wear masks,1,0,0,0,1
MasksAreForSheep,1,0,0,0,1
Masks are for sheep,1,0,0,0,1
RefuseToWearMasks,1,0,0,0,0
Refuse to wear masks,1,0,0,0,0
MasksAreMurderingMe,1,0,0,0,0
Masks are murdering me,1,0,0,0,0
maskshoax,1,0,0,0,1
masks hoax,1,0,0,0,1
TakeOffTheMask,1,0,0,0,0
Take off the mask,1,0,0,0,0
vaccination,0,0,1,0,0
vaccines,0,0,1,0,0
CovidVaccine,0,0,1,0,0
Covid vaccine,0,0,1,0,0
Covid19Vaccine,0,0,1,0,0
Covid19 vaccine,0,0,1,0,0
Covid19Vaccination,0,0,1,0,0
Covid19 vaccination,0,0,1,0,0
Astrazeneca,0,0,1,0,0
Moderna,0,0,1,0,0
Modernavaccine,0,0,1,0,0
Moderna vaccine,0,0,1,0,0
Pfizer,0,0,1,0,0
Pfizervaccine,0,0,1,0,0
Pfizer vaccine,0,0,1,0,0
PfizerBionTech,0,0,1,0,0
BioNTech,0,0,1,0,0
Covaxin,0,0,1,0,0
Coronavaccine,0,0,1,0,0
Corona vaccine,0,0,1,0,0
SputnikV,0,0,1,0,0
Sputnik V,0,0,1,0,0
CoronaVac,0,0,1,0,0
Corona Vac,0,0,1,0,0
PfizerBioNTech,0,0,1,0,0
Pfizer BioNTech,0,0,1,0,0
Operationwarpspeed,0,0,1,0,0
Operation warp speed,0,0,1,0,0
Warpspeed,0,0,1,0,0
Warp speed,0,0,1,0,0
CovidVaccination,0,0,1,0,0
Covid Vaccination,0,0,1,0,0
Vaccinating,0,0,1,0,0
CoronavirusVaccines,0,0,1,0,0
Coronavirus Vaccines,0,0,1,0,0
Covisdhield,0,0,1,0,0
Astrazenecavaccine,0,0,1,0,0
Astrazeneca vaccine,0,0,1,0,0
Janssen,0,0,1,0,0
Janssenvaccine,0,0,1,0,0
Janssen vaccine,0,0,1,0,0
JohnsonandJohnson,0,0,1,0,0
Johnson and Johnson,0,0,1,0,0
JohnsonandJohnsonvaccine,0,0,1,0,0
JohnsonandJohnson vaccine,0,0,1,0,0
Johnson and Johnson vaccine,0,0,1,0,0
immunization,0,0,1,0,0
SputnikVVaccine,0,0,1,0,0
SputnikV vaccine,0,0,1,0,0
CoronavacVaccine,0,0,1,0,0
Coronavac vaccine,0,0,1,0,0
SinovacVaccine,0,0,1,0,0
Sinovac vaccine,0,0,1,0,0
Sinovac,0,0,1,0,0
Herdimmunity,0,0,1,0,0
Herd immunity,0,0,1,0,0
VaccinesSaveLives,0,0,1,0,0
Vaccines save lives,0,0,1,0,0
ThisIsOurShot,0,0,1,0,0
This is our shot,0,0,1,0,0
Vaccinated,0,0,1,0,0
getvaccinated,0,0,1,0,0
get vaccinated,0,0,1,0,0
BidenVaccine,0,0,1,0,0
Biden Vaccine,0,0,1,0,0
Trumpvaccine,0,0,1,0,0
Trump vaccine,0,0,1,0,0
VaccinesWork,0,0,1,0,0
Vaccines work,0,0,1,0,0
VaccinationWorks,0,0,1,0,0
Vaccination works,0,0,1,0,0
TakeYourShot,0,0,1,0,0
Take your shot,0,0,1,0,0
BestShot,0,0,1,0,0
Best shot,0,0,1,0,0
vaccinationdone,0,0,1,0,0
vaccination done,0,0,1,0,0
CovidVaccineFacts,0,0,1,0,0
Covid vaccine facts,0,0,1,0,0
SecondDose,0,0,1,0,0
Second Dose,0,0,1,0,0
GetYourShot,0,0,1,0,0
Get your shot,0,0,1,0,0
VaxUp,0,0,1,0,0
Vax up,0,0,1,0,0
VaccineSelfie,0,0,1,0,0
Vaccine selfie,0,0,1,0,0
CrushCOVID,0,0,1,0,0
Crush covid,0,0,1,0,0
MyCOVIDVax,0,0,1,0,0
My covid vax,0,0,1,0,0
IGotTheShot,0,0,1,0,0
I got the shot,0,0,1,0,0
VaccinesAreSafe,0,0,1,0,0
Vaccines are safe,0,0,1,0,0
vaccine against coronavirus,0,0,1,0,0
NoVaccine,0,0,1,0,0
No Vaccine,0,0,1,0,0
MedicalFreedom,0,0,1,0,0
Medical freedom,0,0,1,0,0
AstrazenecaKills,0,0,1,0,0
Astrazeneca kills,0,0,1,0,0
AntiVaccine,0,0,1,0,0
Anti vaccine,0,0,1,0,0
AntiVacc,0,0,1,0,0
Anti vacc,0,0,1,0,0
AntiVaxx,0,0,1,0,0
Anti Vaxx,0,0,1,0,0
KnowtheRisk,0,0,1,0,1
Know the risk,0,0,1,0,1
BewaretheNeedle,0,0,1,0,1
Beware the needle,0,0,1,0,1
FuckAstrazeneca,0,0,1,0,0
Fuck Astrazeneca,0,0,1,0,0
FuckPfizer,0,0,1,0,0
Fuck Pfizer,0,0,1,0,0
PfizerKills,0,0,1,0,0
Pfizer kills,0,0,1,0,0
FuckModerna,0,0,1,0,0
Fuck Moderna,0,0,1,0,0
ModernaKills,0,0,1,0,0
Moderna kills,0,0,1,0,0
FuckJohnsonandJohnson,0,0,1,0,0
Fuck JohnsonandJohnson,0,0,1,0,0
Fuck Johnson and Johnson,0,0,1,0,0
JohnsonandJohnsonkills,0,0,1,0,0
JohnsonandJohnson kills,0,0,1,0,0
Johnson and Johnson kills,0,0,1,0,0
Deathbyvaccine,0,0,1,0,0
Death by vaccine,0,0,1,0,0
VaccinesKill,0,0,1,0,0
Vaccines kill,0,0,1,0,0
NeverVaccine,0,0,1,0,0
Never vaccine,0,0,1,0,0
SayNoToVaccines,0,0,1,0,0
Say no to vaccines,0,0,1,0,0
hydroxycloroquine,0,0,1,0,0
saynobillgatesvaccine,0,0,1,0,1
say no to Bill Gates vaccine,0,0,1,0,1
quarantine,0,1,0,0,0
secondlockdown,0,1,0,0,0
second lockdown,0,1,0,0,0
lockdownDC,0,1,0,0,0
lockdown DC,0,1,0,0,0
californialockdown,0,1,0,0,0
california lockdown,0,1,0,0,0
2ndLockdown,0,1,0,0,0
2nd lockdown,0,1,0,0,0
Lockdown3,0,1,0,0,0
lockdown 3,0,1,0,0,0
lockdowns,0,1,0,0,0
coronavirusshutdown,0,1,0,0,0
coronavirus shutdown,0,1,0,0,0
covidlockdown,0,1,0,0,0
covid lockdown,0,1,0,0,0
covidshutdown,0,1,0,0,0
covid shutdown,0,1,0,0,0
shutdowns,0,1,0,0,0
coronaviruslockdown,0,1,0,0,0
coronavirus lockdown,0,1,0,0,0
lock down,0,1,0,0,0
Wuhanlockdown,0,1,0,0,0
Wuhan lockdown,0,1,0,0,0
lockdownextension,0,1,0,0,0
lockdown extension,0,1,0,0,0
homequarantine,0,1,0,0,0
home quarantine,0,1,0,0,0
Stayhome,0,1,0,0,0
Stay home,0,1,0,0,0
StayHomeStaySafe,0,1,0,0,0
Stay home stay safe,0,1,0,0,0
lockdownlife,0,1,0,0,0
lockdown life,0,1,0,0,0
StayHomeSaveLives,0,1,0,0,0
Stay home save lives,0,1,0,0,0
nationallockdown,0,1,0,0,0
national lockdown,0,1,0,0,0
TogetherAtHome,0,1,0,0,0
Together at home,0,1,0,0,0
Prolockdown,0,1,0,0,0
pro lockdown,0,1,0,0,0
Proshutdown,0,1,0,0,0
pro shutdown,0,1,0,0,0
LockdownWorks,0,1,0,0,0
Lockdown works,0,1,0,0,0
AvoidGatherings,0,1,0,0,0
Avoid gatherings,0,1,0,0,0
stay home challenge,0,1,0,0,0
safe at home,0,1,0,0,0
stay at home,0,1,0,0,0
stay home,0,1,0,0,0
sheltering in place,0,1,0,0,0
quarantine life,0,1,0,0,0
14DayQuarantine,0,1,0,0,0
14 day quarantine,0,1,0,0,0
inmyquarantinesurvivalkit,0,1,0,0,0
in my quarantine survival kit,0,1,0,0,0
quarantine shelter,0,1,0,0,0
shelteringinplace,0,1,0,0,0
sheltering in place,0,1,0,0,0
stay home challenge,0,1,0,0,0
stayathome,0,1,0,0,0
stay_home_safe,0,1,0,0,0
stayhometosavelives,0,1,0,0,0
stay home to save lives,0,1,0,0,0
workfromhome,0,1,0,0,0
work from home,0,1,0,0,0
stayhome!,0,1,0,0,0
saferathome,0,1,0,0,0
safe at home,0,1,0,0,0
endthelockdown,0,1,0,0,0
end the lockdown,0,1,0,0,0
endlockdowns,0,1,0,0,0
end lockdowns,0,1,0,0,0
NoShutdown,0,1,0,0,0
No shutdown,0,1,0,0,0
NoMoreLockdown,0,1,0,0,0
No more lockdown,0,1,0,0,0
NoMoreShutdown,0,1,0,0,0
No more shutdown,0,1,0,0,0
ReopenAmerica,0,1,0,0,0
Reopen America,0,1,0,0,0
OpenAmericaNow,0,1,0,0,0
Open America now,0,1,0,0,0
Antilockdown,0,1,0,0,0
Anti lockdown,0,1,0,0,0
LockdownsKill,0,1,0,0,0
Lockdowns Kill,0,1,0,0,0
Breakthelockdown,0,1,0,0,0
Break the lockdown,0,1,0,0,0
LockdownsAreNotACure,0,1,0,0,0
Lockdowns are not a cure,0,1,0,0,0
nolockdown2,0,1,0,0,0
no lockdown2,0,1,0,0,0
no lockdown 2,0,1,0,0,0
BreakTheLockdowns,0,1,0,0,0
Break the lockdowns,0,1,0,0,0
LockdownChaos,0,1,0,0,0
Lockdown chaos,0,1,0,0,0
LockdownsDontWork,0,1,0,0,0
